,L8_X1,L8_X1,L8_X2,L8_X2,L8_X3,L8_X3,L8_X4,L8_X4,L10_X1,L10_X1,L10_X2,L10_X2,L10_X3,L10_X3,L10_X4,L10_X4,L12_X1,L12_X1,L12_X2,L12_X2,L12_X3,L12_X3,L12_X4,L12_X4,L14_X1,L14_X1,L14_X2,L14_X2,L14_X3,L14_X3,L14_X4,L14_X4,L16_X1,L16_X1,L16_X2,L16_X2,L16_X3,L16_X3,L16_X4,L16_X4,L18_X1,L18_X1,L18_X2,L18_X2,L18_X3,L18_X3,L18_X4,L18_X4,L20_X1,L20_X1,L20_X2,L20_X2,L20_X3,L20_X3,L20_X4,L20_X4,L22_X1,L22_X1,L22_X2,L22_X2,L22_X3,L22_X3,L22_X4,L22_X4,L24_X1,L24_X1,L24_X2,L24_X2,L24_X3,L24_X3,L24_X4,L24_X4,L26_X1,L26_X1,L26_X2,L26_X2,L26_X3,L26_X3,L26_X4,L26_X4
,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts,Longs,Shorts
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-25,"XLU,XLI,XLF","XLE,XLC,XLRE","XLU,XLB,XLV","XLE,XLC,XLY","XLU,XLV,XLRE","XLC,XLK,XLE","XLU,XLV,XLB","XLC,XLK,XLP","XLU,XLV,XLRE","XLC,XLK,XLE","XLU,XLV,XLB","XLK,XLC,XLE","XLV,XLI,XLU","XLC,XLP,XLK","XLU,XLI,XLF","XLC,XLY,XLK","XLV,XLB,XLU","XLC,XLK,XLY","XLU,XLB,XLI","XLY,XLC,XLK","XLU,XLV,XLP","XLC,XLY,XLE","XLU,XLV,XLP","XLC,XLY,XLK","XLU,XLV,XLP","XLC,XLY,XLE","XLU,XLV,XLP","XLY,XLC,XLK","XLU,XLV,XLRE","XLC,XLY,XLB",,,"XLU,XLV,XLP","XLC,XLY,XLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-01,"XLU,XLF,XLB","XLC,XLK,XLRE","XLU,XLI,XLF","XLE,XLC,XLRE","XLU,XLB,XLV","XLE,XLC,XLY","XLU,XLV,XLRE","XLC,XLK,XLE","XLU,XLB,XLV","XLC,XLK,XLE","XLU,XLV,XLRE","XLC,XLK,XLE","XLU,XLV,XLB","XLK,XLC,XLE","XLV,XLI,XLU","XLC,XLP,XLK","XLU,XLV,XLF","XLC,XLK,XLE","XLV,XLB,XLU","XLC,XLK,XLY","XLU,XLB,XLI","XLY,XLC,XLK","XLU,XLV,XLP","XLC,XLY,XLE","XLU,XLF,XLI","XLC,XLY,XLK","XLU,XLV,XLP","XLC,XLY,XLE","XLU,XLV,XLP","XLY,XLC,XLK","XLU,XLV,XLRE","XLC,XLY,XLB","XLU,XLV,XLP","XLC,XLY,XLK","XLU,XLV,XLP","XLC,XLY,XLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-08,"XLB,XLF,XLE","XLV,XLP,XLU","XLU,XLF,XLB","XLC,XLK,XLRE","XLU,XLI,XLF","XLE,XLC,XLRE","XLU,XLB,XLV","XLE,XLC,XLY","XLB,XLI,XLF","XLE,XLC,XLP","XLU,XLB,XLV","XLC,XLK,XLE","XLU,XLV,XLRE","XLC,XLK,XLE","XLU,XLV,XLB","XLK,XLC,XLE","XLU,XLB,XLRE","XLC,XLK,XLY","XLU,XLV,XLF","XLC,XLK,XLE","XLV,XLB,XLU","XLC,XLK,XLY","XLU,XLB,XLI","XLY,XLC,XLK","XLB,XLI,XLF","XLC,XLK,XLY","XLU,XLF,XLI","XLC,XLY,XLK","XLU,XLV,XLP","XLC,XLY,XLE","XLU,XLV,XLP","XLY,XLC,XLK","XLU,XLI,XLB","XLC,XLY,XLE","XLU,XLV,XLP","XLC,XLY,XLK","XLU,XLV,XLP","XLC,XLY,XLE",,,"XLU,XLV,XLI","XLC,XLY,XLK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-15,"XLB,XLF,XLI","XLU,XLY,XLV","XLB,XLF,XLE","XLV,XLP,XLU","XLU,XLF,XLB","XLC,XLK,XLRE","XLU,XLI,XLF","XLE,XLC,XLRE","XLB,XLE,XLF","XLY,XLP,XLC","XLB,XLI,XLF","XLE,XLC,XLP","XLU,XLB,XLV","XLC,XLK,XLE","XLU,XLV,XLRE","XLC,XLK,XLE","XLB,XLF,XLI","XLY,XLC,XLP","XLU,XLB,XLRE","XLC,XLK,XLY","XLU,XLV,XLF","XLC,XLK,XLE","XLV,XLB,XLU","XLC,XLK,XLY","XLB,XLF,XLI","XLC,XLK,XLY","XLB,XLI,XLF","XLC,XLK,XLY","XLU,XLF,XLI","XLC,XLY,XLK","XLU,XLV,XLP","XLC,XLY,XLE","XLB,XLF,XLI","XLY,XLC,XLK","XLU,XLI,XLB","XLC,XLY,XLE","XLU,XLV,XLP","XLC,XLY,XLK","XLU,XLV,XLP","XLC,XLY,XLE","XLU,XLI,XLV","XLY,XLC,XLK","XLU,XLV,XLI","XLC,XLY,XLK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-22,"XLB,XLE,XLI","XLY,XLC,XLU","XLB,XLF,XLI","XLU,XLY,XLV","XLB,XLF,XLE","XLV,XLP,XLU","XLU,XLF,XLB","XLC,XLK,XLRE","XLB,XLE,XLF","XLY,XLV,XLP","XLB,XLE,XLF","XLY,XLP,XLC","XLB,XLI,XLF","XLE,XLC,XLP","XLU,XLB,XLV","XLC,XLK,XLE","XLB,XLI,XLF","XLY,XLC,XLRE","XLB,XLF,XLI","XLY,XLC,XLP","XLU,XLB,XLRE","XLC,XLK,XLY","XLU,XLV,XLF","XLC,XLK,XLE","XLB,XLU,XLI","XLY,XLC,XLK","XLB,XLF,XLI","XLC,XLK,XLY","XLB,XLI,XLF","XLC,XLK,XLY","XLU,XLF,XLI","XLC,XLY,XLK","XLB,XLI,XLV","XLY,XLC,XLRE","XLB,XLF,XLI","XLY,XLC,XLK","XLU,XLI,XLB","XLC,XLY,XLE","XLU,XLV,XLP","XLC,XLY,XLK","XLI,XLU,XLV","XLY,XLC,XLRE","XLU,XLI,XLV","XLY,XLC,XLK","XLU,XLV,XLI","XLC,XLY,XLK",,,"XLU,XLV,XLI","XLY,XLC,XLF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-01,"XLF,XLB,XLE","XLY,XLC,XLU","XLB,XLE,XLI","XLY,XLC,XLU","XLB,XLF,XLI","XLU,XLY,XLV","XLB,XLF,XLE","XLV,XLP,XLU","XLB,XLF,XLI","XLY,XLU,XLC","XLB,XLE,XLF","XLY,XLV,XLP","XLB,XLE,XLF","XLY,XLP,XLC","XLB,XLI,XLF","XLE,XLC,XLP","XLB,XLF,XLE","XLY,XLC,XLP","XLB,XLI,XLF","XLY,XLC,XLRE","XLB,XLF,XLI","XLY,XLC,XLP","XLU,XLB,XLRE","XLC,XLK,XLY","XLB,XLF,XLU","XLY,XLC,XLK","XLB,XLU,XLI","XLY,XLC,XLK","XLB,XLF,XLI","XLC,XLK,XLY","XLB,XLI,XLF","XLC,XLK,XLY","XLB,XLF,XLI","XLC,XLY,XLK","XLB,XLI,XLV","XLY,XLC,XLRE","XLB,XLF,XLI","XLY,XLC,XLK","XLU,XLI,XLB","XLC,XLY,XLE","XLF,XLB,XLI","XLY,XLC,XLK","XLI,XLU,XLV","XLY,XLC,XLRE","XLU,XLI,XLV","XLY,XLC,XLK","XLU,XLV,XLI","XLC,XLY,XLK","XLU,XLV,XLF","XLY,XLC,XLK","XLU,XLV,XLI","XLY,XLC,XLF",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-08,"XLB,XLE,XLI","XLY,XLC,XLU","XLF,XLB,XLE","XLY,XLC,XLU","XLB,XLE,XLI","XLY,XLC,XLU","XLB,XLF,XLI","XLU,XLY,XLV","XLB,XLE,XLI","XLY,XLC,XLRE","XLB,XLF,XLI","XLY,XLU,XLC","XLB,XLE,XLF","XLY,XLV,XLP","XLB,XLE,XLF","XLY,XLP,XLC","XLB,XLE,XLF","XLY,XLP,XLRE","XLB,XLF,XLE","XLY,XLC,XLP","XLB,XLI,XLF","XLY,XLC,XLRE","XLB,XLF,XLI","XLY,XLC,XLP","XLB,XLI,XLF","XLY,XLC,XLP","XLB,XLF,XLU","XLY,XLC,XLK","XLB,XLU,XLI","XLY,XLC,XLK","XLB,XLF,XLI","XLC,XLK,XLY","XLU,XLV,XLB","XLY,XLC,XLK","XLB,XLF,XLI","XLC,XLY,XLK","XLB,XLI,XLV","XLY,XLC,XLRE","XLB,XLF,XLI","XLY,XLC,XLK","XLB,XLI,XLV","XLY,XLC,XLP","XLF,XLB,XLI","XLY,XLC,XLK","XLI,XLU,XLV","XLY,XLC,XLRE","XLU,XLI,XLV","XLY,XLC,XLK","XLV,XLU,XLI","XLY,XLC,XLRE","XLU,XLV,XLF","XLY,XLC,XLK","XLU,XLV,XLI","XLY,XLC,XLF",,,"XLU,XLV,XLI","XLY,XLC,XLK",,,,,,,,,,,,,,,,,,,,,,
2019-03-15,"XLE,XLV,XLF","XLY,XLU,XLC","XLB,XLE,XLI","XLY,XLC,XLU","XLF,XLB,XLE","XLY,XLC,XLU","XLB,XLE,XLI","XLY,XLC,XLU","XLE,XLV,XLF","XLY,XLC,XLRE","XLB,XLE,XLI","XLY,XLC,XLRE","XLB,XLF,XLI","XLY,XLU,XLC","XLB,XLE,XLF","XLY,XLV,XLP","XLB,XLE,XLF","XLY,XLP,XLC","XLB,XLE,XLF","XLY,XLP,XLRE","XLB,XLF,XLE","XLY,XLC,XLP","XLB,XLI,XLF","XLY,XLC,XLRE","XLE,XLB,XLF","XLY,XLP,XLC","XLB,XLI,XLF","XLY,XLC,XLP","XLB,XLF,XLU","XLY,XLC,XLK","XLB,XLU,XLI","XLY,XLC,XLK","XLV,XLU,XLB","XLY,XLC,XLP","XLU,XLV,XLB","XLY,XLC,XLK","XLB,XLF,XLI","XLC,XLY,XLK","XLB,XLI,XLV","XLY,XLC,XLRE","XLV,XLE,XLU","XLC,XLY,XLK","XLB,XLI,XLV","XLY,XLC,XLP","XLF,XLB,XLI","XLY,XLC,XLK","XLI,XLU,XLV","XLY,XLC,XLRE","XLV,XLF,XLU","XLY,XLC,XLK","XLV,XLU,XLI","XLY,XLC,XLRE","XLU,XLV,XLF","XLY,XLC,XLK","XLU,XLV,XLI","XLY,XLC,XLF","XLU,XLV,XLE","XLY,XLC,XLK","XLU,XLV,XLI","XLY,XLC,XLK",,,,,,,,,,,,,,,,,,,,
2019-03-22,"XLE,XLB,XLV","XLY,XLP,XLU","XLE,XLV,XLF","XLY,XLU,XLC","XLB,XLE,XLI","XLY,XLC,XLU","XLF,XLB,XLE","XLY,XLC,XLU","XLB,XLF,XLV","XLY,XLRE,XLC","XLE,XLV,XLF","XLY,XLC,XLRE","XLB,XLE,XLI","XLY,XLC,XLRE","XLB,XLF,XLI","XLY,XLU,XLC","XLB,XLV,XLE","XLY,XLC,XLRE","XLB,XLE,XLF","XLY,XLP,XLC","XLB,XLE,XLF","XLY,XLP,XLRE","XLB,XLF,XLE","XLY,XLC,XLP","XLB,XLE,XLF","XLY,XLP,XLRE","XLE,XLB,XLF","XLY,XLP,XLC","XLB,XLI,XLF","XLY,XLC,XLP","XLB,XLF,XLU","XLY,XLC,XLK","XLV,XLF,XLB","XLY,XLP,XLC","XLV,XLU,XLB","XLY,XLC,XLP","XLU,XLV,XLB","XLY,XLC,XLK","XLB,XLF,XLI","XLC,XLY,XLK","XLV,XLU,XLB","XLY,XLC,XLK","XLV,XLE,XLU","XLC,XLY,XLK","XLB,XLI,XLV","XLY,XLC,XLP","XLF,XLB,XLI","XLY,XLC,XLK","XLV,XLB,XLI","XLY,XLC,XLP","XLV,XLF,XLU","XLY,XLC,XLK","XLV,XLU,XLI","XLY,XLC,XLRE","XLU,XLV,XLF","XLY,XLC,XLK","XLV,XLU,XLF","XLY,XLC,XLRE","XLU,XLV,XLE","XLY,XLC,XLK","XLU,XLV,XLI","XLY,XLC,XLK",,,"XLU,XLV,XLI","XLY,XLC,XLK",,,,,,,,,,,,,,
2019-03-29,"XLK,XLV,XLF","XLY,XLP,XLI","XLE,XLB,XLV","XLY,XLP,XLU","XLE,XLV,XLF","XLY,XLU,XLC","XLB,XLE,XLI","XLY,XLC,XLU","XLV,XLF,XLK","XLY,XLC,XLU","XLB,XLF,XLV","XLY,XLRE,XLC","XLE,XLV,XLF","XLY,XLC,XLRE","XLB,XLE,XLI","XLY,XLC,XLRE","XLF,XLV,XLB","XLY,XLC,XLRE","XLB,XLV,XLE","XLY,XLC,XLRE","XLB,XLE,XLF","XLY,XLP,XLC","XLB,XLE,XLF","XLY,XLP,XLRE","XLB,XLF,XLK","XLY,XLP,XLC","XLB,XLE,XLF","XLY,XLP,XLRE","XLE,XLB,XLF","XLY,XLP,XLC","XLB,XLI,XLF","XLY,XLC,XLP","XLF,XLB,XLU","XLY,XLP,XLC","XLV,XLF,XLB","XLY,XLP,XLC","XLV,XLU,XLB","XLY,XLC,XLP","XLU,XLV,XLB","XLY,XLC,XLK","XLU,XLV,XLB","XLY,XLC,XLP","XLV,XLU,XLB","XLY,XLC,XLK","XLV,XLE,XLU","XLC,XLY,XLK","XLB,XLI,XLV","XLY,XLC,XLP","XLV,XLU,XLF","XLC,XLY,XLK","XLV,XLB,XLI","XLY,XLC,XLP","XLV,XLF,XLU","XLY,XLC,XLK","XLV,XLU,XLI","XLY,XLC,XLRE","XLF,XLU,XLV","XLY,XLC,XLRE","XLV,XLU,XLF","XLY,XLC,XLRE","XLU,XLV,XLE","XLY,XLC,XLK","XLU,XLV,XLI","XLY,XLC,XLK","XLU,XLV,XLF","XLY,XLC,XLRE","XLU,XLV,XLI","XLY,XLC,XLK",,,,,,,,,,,,
