Date,StrategyReturn
2020-08-28,-0.0013908577887694665
2020-08-31,0.005753196420257456
2020-09-01,-3.286876334588967e-05
2020-09-02,0.0050092279855479226
2020-09-03,-0.007919320298666287
2020-09-04,-0.004422734829183777
2020-09-04,-6.987829207838882e-05
2020-09-07,0.0
2020-09-08,-0.0023744976980981224
2020-09-09,0.0040989909988707884
2020-09-10,-0.0005401392763505221
2020-09-11,0.00022021635103327804
2020-09-11,-0.0007571345738678996
2020-09-14,0.002364529752833011
2020-09-15,0.001754823804329644
2020-09-16,-0.0069031996151186345
2020-09-17,0.0004611795607136551
2020-09-18,-0.00039726208558512233
2020-09-18,-0.002536730607925978
2020-09-21,-0.0008948163202023331
2020-09-22,0.0005166030702561332
2020-09-23,2.9756299619255544e-05
2020-09-24,0.0018656249115090665
2020-09-25,0.0032415829454749997
2020-09-25,0.0028116962737353224
2020-09-28,-0.001611421248581111
2020-09-29,0.0034362533856052
2020-09-30,0.003735517187933433
2020-10-01,0.001670852500694567
2020-10-02,-0.004918387945682955
2020-10-02,-0.006406494279824832
2020-10-05,0.0005919064471648888
2020-10-06,-0.0010212991270195002
2020-10-07,0.001800105354350533
2020-10-08,-0.0041948577404297555
2020-10-09,0.005144265167081588
2020-10-09,0.0051442651670815884
2020-10-12,0.0020694520125132
2020-10-13,0.002300034180291877
2020-10-14,-0.0011878756652113891
2020-10-15,-0.0042713845012254
2020-10-16,0.003155154565603389
2020-10-16,0.004348331985093889
2020-10-19,0.0003579762483029888
2020-10-20,-0.001575510202583733
2020-10-21,-0.00030117484716006635
2020-10-22,-0.004447651955491488
2020-10-23,-4.207264599345538e-05
2020-10-23,0.00042262007662842227
2020-10-26,0.001471361723154255
2020-10-27,0.002180271922977422
2020-10-28,0.0002482106382912999
2020-10-29,-0.0021295466071623442
2020-10-30,-0.004096714775870677
2020-10-30,0.0013976049028288447
2020-11-02,0.0011944596410685005
2020-11-03,0.0027838548153975777
2020-11-04,-0.0013114331145315668
2020-11-05,0.0001540790662068769
2020-11-06,0.0008764187105498331
2020-11-06,0.0022473027628948
2020-11-09,-0.013844436282531035
2020-11-10,-0.002761319282138133
2020-11-11,0.001194092701126478
2020-11-12,-0.0006424774020919442
2020-11-13,-0.002609923534725233
2020-11-13,-0.0037501392475969885
2020-11-16,-0.010326105310820188
2020-11-17,-0.002669048915698211
2020-11-18,-0.00015478538326923336
2020-11-19,-0.000779755536527311
2020-11-20,0.0005924018390100999
2020-11-20,-1.4093936388666862e-06
2020-11-23,-0.011327087555895588
2020-11-24,-0.005869266994980421
2020-11-25,0.0038701603929117002
2020-11-26,0.0
2020-11-27,0.003316738643807122
2020-11-27,0.004297797259041622
2020-11-30,0.009873659848672944
2020-12-01,0.0029726317306393887
2020-12-02,-0.0031779839463207888
2020-12-03,-0.002214877138256111
2020-12-04,-0.005919496946372611
2020-12-04,-0.003845337751636411
2020-12-07,0.0027241528997107773
2020-12-08,-0.00020288776958338878
2020-12-09,-0.003048803455415578
2020-12-10,-0.0032730161580882995
2020-12-11,0.0007841781817438667
2020-12-11,0.0022972023595452997
2020-12-14,0.0050261482342937
2020-12-15,-0.0015462489756276445
2020-12-16,0.0007105830002225766
2020-12-17,0.0009114997505565111
2020-12-18,0.004233709724367422
2020-12-18,-0.0009609489473755776
2020-12-21,-0.0012311218060773
2020-12-22,0.0048862820093926555
2020-12-23,-0.0069389320906142
2020-12-24,0.0032689590750095776
2020-12-25,0.0
2020-12-25,0.0
2020-12-28,0.003497666354978866
2020-12-29,0.0007197322369839889
2020-12-30,-0.0024260729540988447
2020-12-31,0.0021362321108705663
2021-01-01,0.0
2021-01-01,0.0
2021-01-04,-0.002116202432818911
2021-01-05,-0.00452923079414841
2021-01-06,-0.008116955724492322
2021-01-07,0.000278509870338722
2021-01-08,0.0030995827872813218
2021-01-08,0.0030995827872813218
2021-01-11,-0.0040016900018757995
2021-01-12,-0.0084476308539854
2021-01-13,0.005279793083058221
2021-01-14,-0.0061876833685238
2021-01-15,0.007346682206837522
2021-01-15,-0.00018345868217789973
2021-01-18,0.0
2021-01-19,0.0006571129938650227
2021-01-20,0.000644391585007078
2021-01-21,-0.0001289917861833109
2021-01-22,0.00014637421315419986
2021-01-22,0.00023530883418167774
2021-01-25,0.0013864143544310222
2021-01-26,0.0009318363993720996
2021-01-27,-0.0022838796421267445
2021-01-28,-0.0009853791209819109
2021-01-29,0.001771309966274656
2021-01-29,0.0012681292934008889
2021-02-01,-0.0019373734236203444
2021-02-02,0.0013057181793445557
2021-02-03,-0.005730209571368533
2021-02-04,0.00019000507026412203
2021-02-05,-0.0005290193996020444
2021-02-05,-0.001094650944276822
2021-02-08,-0.004256136462558355
2021-02-09,0.0006523715404072555
2021-02-10,-0.0032900820187105333
2021-02-11,0.0030119881677927113
2021-02-12,-0.0013110805622733558
2021-02-12,-0.0015485860802194888
2021-02-15,0.0
2021-02-16,-0.003423070992237162
2021-02-17,-0.0015355431774419332
2021-02-18,0.001823873675149722
2021-02-19,-0.008379920455057156
2021-02-19,-0.007012482244426845
2021-02-22,-0.010188436132818154
2021-02-23,-0.0010646945956324448
2021-02-24,-0.0055585956950655446
2021-02-25,-0.002172744289712411
2021-02-26,0.004503570583880255
2021-02-26,-0.000987811547427889
2021-03-01,0.0006655590835813999
2021-03-02,0.0005717217431105552
2021-03-03,-0.0005493915397508666
2021-03-04,0.0005725134800637669
2021-03-05,0.0015863562580711108
2021-03-05,0.0018899510506372112
2021-03-08,-0.0066468240836253
2021-03-09,0.0009717154653359221
