Date,XLC_long,XLY_long,XLP_long,XLE_long,XLF_long,XLV_long,XLI_long,XLB_long,XLRE_long,XLK_long,XLU_long,XLC_short,XLY_short,XLP_short,XLE_short,XLF_short,XLV_short,XLI_short,XLB_short,XLRE_short,XLK_short,XLU_short
2018-09-24,1.0049115163809739,0.997264217209652,0.9854781082364558,1.0173890299380937,0.9917527886510944,1.0049182372040175,0.9862752791198981,0.9897522532423444,0.9814896022296932,1.0097798065872978,0.9909919760871876,0.9950884836190261,1.002735782790348,1.0145218917635443,0.9826109700619063,1.0082472113489056,0.9950817627959825,1.013724720880102,1.0102477467576556,1.0185103977703067,0.9902201934127022,1.0090080239128125
2018-09-25,1.006704451824006,1.0025194658649603,0.9798625979975453,1.0247106889001676,0.9887138876730908,1.0026476228162458,0.9842012384983121,0.985660869975298,0.9808846268471314,1.0099275174841285,0.9773828191077409,0.9933130741604315,0.9974517008156805,1.0203029010251219,0.9755395920506614,1.011336654072636,0.9973301516538663,1.015856484997811,1.0144238531652088,1.0191381922126874,0.990075343702028,1.022864592807718
2018-09-26,1.015096389366084,1.0082393648244463,0.9816122310579198,1.0173541269137336,0.9794106338960444,1.0075053553459794,0.986587676296223,0.9792342081440897,0.9709793363530874,1.0105368848026726,0.9676409097645113,0.9850327677974461,0.991760716111747,1.0184810581556443,0.9825431468655762,1.0208527756363877,0.9924981817670132,1.0133932912745935,1.021038054110375,1.0294297795932437,0.9894779547341037,1.0330598345683917
2018-09-27,1.0196459791449273,1.008496200076097,0.9797223143151899,1.0150074597389174,0.9735306508405426,1.0101691350802815,0.9851514574414388,0.9676217895796352,0.9731066349265912,1.012398587749619,0.9777483804019709,0.9806179210310265,0.9915080785715094,1.0204419591540836,0.9848095177285762,1.0269815604536667,0.9898740800400158,1.0148685322361513,1.0331462108270786,1.0271744231508748,0.987655048463219,1.0222690320720609
2018-09-28,1.015758883436788,1.0075186446446862,0.9811551625857687,1.012114405294882,0.9633134643561424,1.013166632813614,0.9844200675326797,0.9613671568328411,0.9851581422515142,1.0160242875922278,0.9920732559803571,0.9843562339260185,0.9924691670787562,1.0189495582206394,0.9876164996127546,1.0377597132628629,0.9869368042827549,1.0156219845074625,1.0398243883878304,1.0144533095130974,0.9841179625791656,1.0072918897053824
2018-10-01,1.0065334709289573,1.000516845530318,0.9796792125080669,1.0233800542189273,0.9640734219262186,1.015167496126268,0.9895228364040323,0.9670433355911086,0.9762659719713535,1.0158430729194197,0.9885465230563115,0.9932964385953558,0.9993663791274133,1.0204823623447767,0.976623532120122,1.0369410250796334,0.9849877412366166,1.0103574796293822,1.0336849763393265,1.0236099019245928,0.9842934865472156,1.0108727235300354
2018-10-02,1.0065527275294595,0.9876401654490296,0.985440219133314,1.0249151187539438,0.9645908429158031,1.0145043982174429,0.99237557293942,0.9718418038656544,0.9734717150056897,1.0168220141441433,1.0019458105443244,0.993277435240524,1.0122282526735789,1.014481412671296,0.9751586021148522,1.0363844958370105,0.9856311260119611,1.0074446780346102,1.0285558322955313,1.0265396661289106,0.983344948828256,0.997170814797918
2018-10-03,1.0102993130721178,0.9836939798759403,0.9747764054957211,1.0327391165544244,0.9731608641188644,1.012117660748619,0.9959397974416545,0.9642646037252205,0.9620975722855615,1.0191152267352204,0.9898660457044629,0.9895802629246186,1.016272681674254,1.02545949182159,0.9677144356483235,1.0271766154501318,0.9879499358101494,1.0038263312070468,1.0365752171027227,1.038533860197872,0.9811272362033744,1.0091930108300446
2018-10-04,1.0072256074967592,0.9768656085169797,0.9740850485145979,1.0348235912093684,0.9867800437943332,1.008993856278921,1.0007901187790622,0.9687130553884902,0.9605150972404778,1.0120928674751346,0.995444678530573,0.9925909334576583,1.0233272000655464,1.0261867956161146,0.9657612064329314,1.0128014968032044,0.9909991489056301,0.9989376017016969,1.0317931741543342,1.0402420589966002,0.9878878337803009,1.0035054561527947
2018-10-05,1.0057434924828894,0.975627300342735,0.9743708247602142,1.0392459046498825,0.9869567456604095,1.0126372688417502,1.001449783145888,0.9679506949822514,0.9629218722093368,1.007415893422104,1.0109283894219632,0.9940515138024778,1.0246244045384234,1.0258857338041103,0.961634030748287,1.012620135297593,0.9874207140852324,0.9982791584095818,1.0326051775221294,1.0376355111595696,0.9924529541505506,0.9878963633562577
2018-10-08,1.0023783944875087,0.978148067954276,0.9878633015473658,1.0384372312763328,0.993654171774375,1.0122075959978423,1.00398730782289,0.9674470663822531,0.9753567852519738,0.996058713478084,1.0194108769298995,0.9973774918290856,1.021977041132287,1.0116799108280086,0.9623823116241472,1.0057485590431228,0.9878396872747535,0.9957496676236895,1.033142446106782,1.0242357663582422,1.0036414482569658,0.9796071327351881
2018-10-09,1.0038648732525919,0.9769367776773896,0.9859719909620657,1.048863931512725,0.9910265651807845,1.0152120209348365,0.9899951122051106,0.9369926241081031,0.979229648089402,1.0017791020405578,1.023445596621562,0.9958984291612059,1.023242607045752,1.0136168194279003,0.952719260672307,1.0084081478822828,0.98490759093213,1.009627058330891,1.0656649251955772,1.0201688190664684,0.9978775118707397,0.975729952024263
2018-10-10,1.0102469409501298,0.9799342525830427,0.9805466589871737,1.0407900541421609,0.9873634430144093,1.0192123797607806,0.9899039170701175,0.9464788244834549,0.9754483451780626,1.000419943765556,1.0153455284237152,0.9895670081063134,1.0201030548177086,1.0191942676628796,0.9600530417740644,1.0121355174292204,0.9810266442009273,1.0097200618970117,1.0548760344900479,1.0241082089053284,0.9992313766847837,0.983452374378874
