Date,StrategyReturn
2019-10-09,0.0006159641838820666
2019-10-10,-0.006212871198028599
2019-10-11,-0.011123475093285966
2019-10-14,-0.0012679491516132
2019-10-15,-0.007004572452613
2019-10-16,0.005028637875324624
2019-10-17,0.005146445377562767
2019-10-18,0.0074291111552278345
2019-10-21,0.006643478806226
2019-10-22,-0.003345862045219399
2019-10-23,-0.0011442294499596334
2019-10-24,-0.0033195766505249
2019-10-25,-0.013395592181747067
2019-10-28,-0.008213796416727566
2019-10-29,-0.0035099640289376335
2019-10-30,0.014073054216334533
2019-10-31,0.002809602029309684
2019-11-01,-0.013414427799562468
2019-11-04,-0.026137091017699232
2019-11-05,-0.0041194547333964
2019-11-06,0.0096248548130324
2019-11-07,-0.015511457411297232
2019-11-08,-0.0016025547607899497
2019-11-11,0.00030743806126756296
2019-11-12,0.0007418313850920673
2019-11-13,0.012906149610927434
2019-11-14,0.002685969024115933
2019-11-15,0.002213377583390023
2019-11-18,0.010649084135475434
2019-11-19,0.004227975888847834
2019-11-20,0.002183335216890701
2019-11-21,-0.013053494581547632
2019-11-22,-0.0021864961026018337
2019-11-25,-0.0004917300313009997
2019-11-26,0.0019673329791970334
2019-11-27,0.0015753624979817425
2019-11-28,0.0
2019-11-29,0.0012076021680445153
2019-12-02,-0.003839196741546967
2019-12-03,0.008393628889052554
2019-12-04,0.002831655292790566
2019-12-05,0.0005926426128372667
2019-12-06,-0.005759514836465134
2019-12-09,0.002431354598295934
2019-12-10,-0.0016687167458128
2019-12-11,-0.005539343979144467
2019-12-12,-0.0071659939276082
2019-12-13,0.006228440327945067
2019-12-16,0.0008575018076394671
2019-12-17,-0.0036001214925307
2019-12-18,0.0066206306383509
2019-12-19,0.0056506446934301005
2019-12-20,-0.0002994430234111333
2019-12-23,-0.0091639486136078
2019-12-24,0.0015571786808928666
2019-12-25,0.0
2019-12-26,0.004803837991690665
2019-12-27,0.005014691095979266
2019-12-30,0.007848246558471134
2019-12-31,3.8922115555459344e-05
2020-01-01,0.0
2020-01-02,-0.003912648927012301
2020-01-03,0.007004745729102433
2020-01-06,0.002201211481290721
2020-01-07,-0.007547071305139734
2020-01-08,0.008526768349687165
2020-01-09,0.0010672102416137666
2020-01-10,0.0066146886617339
2020-01-13,0.0080842027412612
2020-01-14,0.00031128140386076677
2020-01-15,0.010411450657127532
2020-01-16,0.0028502449415105666
2020-01-17,0.006535132404087733
2020-01-20,0.0
2020-01-21,0.01669640017100363
2020-01-22,0.0054257182618314
2020-01-23,0.0026275663431183332
2020-01-24,0.006621042418619032
2020-01-27,0.0018702129396775333
2020-01-28,0.0030115281128218
2020-01-29,0.004820393354066633
2020-01-30,0.0032815867297982335
2020-01-31,0.0143931314828365
2020-02-03,0.007997783379965135
2020-02-04,-0.002274468359944833
2020-02-05,-0.0123170726064279
2020-02-06,0.005178558776364367
2020-02-07,0.0056878656084551
2020-02-10,0.0099456002164598
2020-02-11,-7.941295570776646e-05
2020-02-12,0.004166500949154433
2020-02-13,0.007428960291710567
2020-02-14,0.009389036923842433
2020-02-17,0.0
2020-02-18,0.005255543837034577
2020-02-19,-0.005254166010362933
2020-02-20,-0.00024449355141536707
2020-02-21,-0.001615401963834267
2020-02-24,-0.0004515234654411996
2020-02-25,-0.004599073213092599
2020-02-26,0.0032151218912020007
2020-02-27,-0.02577492905676123
2020-02-28,-0.018066624026952534
2020-03-02,0.021474620590173868
2020-03-03,0.0028557732149194002
2020-03-04,0.03990416363920443
2020-03-05,-0.0016214550377699674
2020-03-06,0.010734351246148967
2020-03-09,0.05754251159692269
2020-03-10,0.0121619602950193
2020-03-11,-0.014632407820335635
2020-03-12,0.009566854225755034
2020-03-13,0.008339885889934666
2020-03-16,-0.01741441290784187
2020-03-17,0.0020884781833158308
2020-03-18,0.058484279976297
2020-03-19,-0.047842171958881005
2020-03-20,0.010259354918292938
2020-03-23,0.0420050322249887
2020-03-24,-0.037330327802549294
2020-03-25,-0.033538492249906
2020-03-26,0.020383961329537834
2020-03-27,0.02097374656327377
2020-03-30,0.015064570719353501
2020-03-31,-0.004221219963333766
2020-04-01,0.008749444031554431
2020-04-02,-0.02294199222923213
2020-04-03,-4.548591215826608e-05
2020-04-06,-0.007636185793291233
2020-04-07,-0.011732769870924467
2020-04-08,-0.0082388721523865
2020-04-09,0.0328258946994141
2020-04-10,0.0
2020-04-13,-0.013161420354712097
2020-04-14,0.0162648181434181
2020-04-15,0.005245398376415867
2020-04-16,0.025053992177416964
2020-04-17,-0.048303689743376704
2020-04-20,-0.018127798301647933
2020-04-21,-0.001886472511954067
2020-04-22,0.005403660338726367
2020-04-23,-0.026599316059096233
2020-04-24,0.0028220103172830993
2020-04-27,0.0031253464637824337
2020-04-28,-0.005626305996090134
2020-04-29,-0.0461585639607476
2020-04-30,0.0027231953152686344
2020-05-01,0.012200011420114867
2020-05-04,-0.006542535687426698
2020-05-05,0.014070724900162035
2020-05-06,0.007319216468733599
2020-05-07,-0.009001422971701934
2020-05-08,-0.007629344577086101
2020-05-11,0.017906335428735
2020-05-12,-0.0012549480199940668
2020-05-13,0.0106391215136055
2020-05-14,-0.001412457479045478
2020-05-15,-0.003963345283345865
2020-05-18,-0.0268697941828498
2020-05-19,-0.0156836828949256
2020-05-20,-0.005965311983134267
2020-05-21,-0.004695400969091333
2020-05-22,0.0104734390088726
2020-05-25,0.0
2020-05-26,-0.0222817689863508
2020-05-27,0.009211952612464583
2020-05-28,0.0290695639874115
2020-05-29,0.004061114334799201
2020-06-01,-0.0077221721740574675
