portfolio_name,sym,wt
XLK_long,XLK,1.0
XLK_long,SPY,-1.4398261955314517
XLK_short,XLK,-1.0
XLK_short,SPY,1.4398261955314517
XLF_long,XLF,1.0
XLF_long,SPY,-0.7830129240948991
XLF_short,XLF,-1.0
XLF_short,SPY,0.7830129240948991
XLV_long,XLV,1.0
XLV_long,SPY,-0.3066172624905355
XLV_short,XLV,-1.0
XLV_short,SPY,0.3066172624905355
XLY_long,XLY,1.0
XLY_long,SPY,-1.2815522280171476
XLY_short,XLY,-1.0
XLY_short,SPY,1.2815522280171476
XLP_long,XLP,1.0
XLP_long,SPY,-0.20123753320811233
XLP_short,XLP,-1.0
XLP_short,SPY,0.20123753320811233
XLE_long,XLE,1.0
XLE_long,SPY,-0.5259971009861191
XLE_short,XLE,-1.0
XLE_short,SPY,0.5259971009861191
XLI_long,XLI,1.0
XLI_long,SPY,-0.7574566958558057
XLI_short,XLI,-1.0
XLI_short,SPY,0.7574566958558057
XLB_long,XLB,1.0
XLB_long,SPY,-0.6308842602216651
XLB_short,XLB,-1.0
XLB_short,SPY,0.6308842602216651
XLU_long,XLU,1.0
XLU_long,SPY,-0.5925990340513194
XLU_short,XLU,-1.0
XLU_short,SPY,0.5925990340513194
XLC_long,XLC,1.0
XLC_long,SPY,-0.7940656731914739
XLC_short,XLC,-1.0
XLC_short,SPY,0.7940656731914739
XLRE_long,XLRE,1.0
XLRE_long,SPY,-0.49696466797516775
XLRE_short,XLRE,-1.0
XLRE_short,SPY,0.49696466797516775
