portfolio_name,sym,wt
XLK_long,XLK,1.0
XLK_long,SPY,-1.464311015122702
XLK_short,XLK,-1.0
XLK_short,SPY,1.464311015122702
XLF_long,XLF,1.0
XLF_long,SPY,-0.8009309387463641
XLF_short,XLF,-1.0
XLF_short,SPY,0.8009309387463641
XLV_long,XLV,1.0
XLV_long,SPY,-0.31596290022668116
XLV_short,XLV,-1.0
XLV_short,SPY,0.31596290022668116
XLY_long,XLY,1.0
XLY_long,SPY,-1.2738089373393398
XLY_short,XLY,-1.0
XLY_short,SPY,1.2738089373393398
XLP_long,XLP,1.0
XLP_long,SPY,-0.17370482837336035
XLP_short,XLP,-1.0
XLP_short,SPY,0.17370482837336035
XLE_long,XLE,1.0
XLE_long,SPY,-0.4659091307860544
XLE_short,XLE,-1.0
XLE_short,SPY,0.4659091307860544
XLI_long,XLI,1.0
XLI_long,SPY,-0.7492674086325731
XLI_short,XLI,-1.0
XLI_short,SPY,0.7492674086325731
XLB_long,XLB,1.0
XLB_long,SPY,-0.701902800404597
XLB_short,XLB,-1.0
XLB_short,SPY,0.701902800404597
XLU_long,XLU,1.0
XLU_long,SPY,-0.5208008463419498
XLU_short,XLU,-1.0
XLU_short,SPY,0.5208008463419498
XLC_long,XLC,1.0
XLC_long,SPY,-0.8273065690601926
XLC_short,XLC,-1.0
XLC_short,SPY,0.8273065690601926
XLRE_long,XLRE,1.0
XLRE_long,SPY,-0.5201370570292799
XLRE_short,XLRE,-1.0
XLRE_short,SPY,0.5201370570292799
