portfolio_name,sym,wt
XLK_long,XLK,1.0
XLK_long,SPY,-1.3263290417699862
XLK_short,XLK,-1.0
XLK_short,SPY,1.3263290417699862
XLF_long,XLF,1.0
XLF_long,SPY,-0.9168113780276841
XLF_short,XLF,-1.0
XLF_short,SPY,0.9168113780276841
XLV_long,XLV,1.0
XLV_long,SPY,-0.4406470923839397
XLV_short,XLV,-1.0
XLV_short,SPY,0.4406470923839397
XLY_long,XLY,1.0
XLY_long,SPY,-1.3206186053054063
XLY_short,XLY,-1.0
XLY_short,SPY,1.3206186053054063
XLP_long,XLP,1.0
XLP_long,SPY,-0.2931150685284195
XLP_short,XLP,-1.0
XLP_short,SPY,0.2931150685284195
XLE_long,XLE,1.0
XLE_long,SPY,-0.32644262328664303
XLE_short,XLE,-1.0
XLE_short,SPY,0.32644262328664303
XLI_long,XLI,1.0
XLI_long,SPY,-0.8172183449395011
XLI_short,XLI,-1.0
XLI_short,SPY,0.8172183449395011
XLB_long,XLB,1.0
XLB_long,SPY,-0.6332766359582259
XLB_short,XLB,-1.0
XLB_short,SPY,0.6332766359582259
XLU_long,XLU,1.0
XLU_long,SPY,-0.40175543063679026
XLU_short,XLU,-1.0
XLU_short,SPY,0.40175543063679026
XLC_long,XLC,1.0
XLC_long,SPY,-0.8826476551924106
XLC_short,XLC,-1.0
XLC_short,SPY,0.8826476551924106
XLRE_long,XLRE,1.0
XLRE_long,SPY,-0.7322521150220089
XLRE_short,XLRE,-1.0
XLRE_short,SPY,0.7322521150220089
