portfolio_name,sym,wt
XLK_long,XLK,1.0
XLK_long,SPY,-1.2732936732392988
XLK_short,XLK,-1.0
XLK_short,SPY,1.2732936732392988
XLF_long,XLF,1.0
XLF_long,SPY,-0.7778259614630186
XLF_short,XLF,-1.0
XLF_short,SPY,0.7778259614630186
XLV_long,XLV,1.0
XLV_long,SPY,-0.44382094220548335
XLV_short,XLV,-1.0
XLV_short,SPY,0.44382094220548335
XLY_long,XLY,1.0
XLY_long,SPY,-1.0710339548040846
XLY_short,XLY,-1.0
XLY_short,SPY,1.0710339548040846
XLP_long,XLP,1.0
XLP_long,SPY,-0.3103952997012066
XLP_short,XLP,-1.0
XLP_short,SPY,0.3103952997012066
XLE_long,XLE,1.0
XLE_long,SPY,-0.8626134158276023
XLE_short,XLE,-1.0
XLE_short,SPY,0.8626134158276023
XLI_long,XLI,1.0
XLI_long,SPY,-0.8638150402173633
XLI_short,XLI,-1.0
XLI_short,SPY,0.8638150402173633
XLB_long,XLB,1.0
XLB_long,SPY,-0.8321479904738895
XLB_short,XLB,-1.0
XLB_short,SPY,0.8321479904738895
XLU_long,XLU,1.0
XLU_long,SPY,-0.4036725291677615
XLU_short,XLU,-1.0
XLU_short,SPY,0.4036725291677615
XLC_long,XLC,1.0
XLC_long,SPY,-0.8679782166411752
XLC_short,XLC,-1.0
XLC_short,SPY,0.8679782166411752
XLRE_long,XLRE,1.0
XLRE_long,SPY,-0.580020260474382
XLRE_short,XLRE,-1.0
XLRE_short,SPY,0.580020260474382
