portfolio_name,sym,wt
XLK_long,XLK,1.0
XLK_long,SPY,-1.363142278701457
XLK_short,XLK,-1.0
XLK_short,SPY,1.363142278701457
XLF_long,XLF,1.0
XLF_long,SPY,-0.8506911189049581
XLF_short,XLF,-1.0
XLF_short,SPY,0.8506911189049581
XLV_long,XLV,1.0
XLV_long,SPY,-0.37027560054905984
XLV_short,XLV,-1.0
XLV_short,SPY,0.37027560054905984
XLY_long,XLY,1.0
XLY_long,SPY,-1.2989933155165299
XLY_short,XLY,-1.0
XLY_short,SPY,1.2989933155165299
XLP_long,XLP,1.0
XLP_long,SPY,-0.2319965025984847
XLP_short,XLP,-1.0
XLP_short,SPY,0.2319965025984847
XLE_long,XLE,1.0
XLE_long,SPY,-0.4478530916410386
XLE_short,XLE,-1.0
XLE_short,SPY,0.4478530916410386
XLI_long,XLI,1.0
XLI_long,SPY,-0.8395853613721252
XLI_short,XLI,-1.0
XLI_short,SPY,0.8395853613721252
XLB_long,XLB,1.0
XLB_long,SPY,-0.6005208517697757
XLB_short,XLB,-1.0
XLB_short,SPY,0.6005208517697757
XLU_long,XLU,1.0
XLU_long,SPY,-0.4537179750149858
XLU_short,XLU,-1.0
XLU_short,SPY,0.4537179750149858
XLC_long,XLC,1.0
XLC_long,SPY,-0.8374386515316948
XLC_short,XLC,-1.0
XLC_short,SPY,0.8374386515316948
XLRE_long,XLRE,1.0
XLRE_long,SPY,-0.573011689495833
XLRE_short,XLRE,-1.0
XLRE_short,SPY,0.573011689495833
