portfolio_name,sym,wt
XLK_long,XLK,1.0
XLK_long,SPY,-1.4297900723231305
XLK_short,XLK,-1.0
XLK_short,SPY,1.4297900723231305
XLF_long,XLF,1.0
XLF_long,SPY,-0.8135800513991821
XLF_short,XLF,-1.0
XLF_short,SPY,0.8135800513991821
XLV_long,XLV,1.0
XLV_long,SPY,-0.3003041404958724
XLV_short,XLV,-1.0
XLV_short,SPY,0.3003041404958724
XLY_long,XLY,1.0
XLY_long,SPY,-1.2734768426604908
XLY_short,XLY,-1.0
XLY_short,SPY,1.2734768426604908
XLP_long,XLP,1.0
XLP_long,SPY,-0.19021577331277248
XLP_short,XLP,-1.0
XLP_short,SPY,0.19021577331277248
XLE_long,XLE,1.0
XLE_long,SPY,-0.5402017223115095
XLE_short,XLE,-1.0
XLE_short,SPY,0.5402017223115095
XLI_long,XLI,1.0
XLI_long,SPY,-0.7732206285538172
XLI_short,XLI,-1.0
XLI_short,SPY,0.7732206285538172
XLB_long,XLB,1.0
XLB_long,SPY,-0.6933517575998082
XLB_short,XLB,-1.0
XLB_short,SPY,0.6933517575998082
XLU_long,XLU,1.0
XLU_long,SPY,-0.5990710055128365
XLU_short,XLU,-1.0
XLU_short,SPY,0.5990710055128365
XLC_long,XLC,1.0
XLC_long,SPY,-0.8077631066131562
XLC_short,XLC,-1.0
XLC_short,SPY,0.8077631066131562
XLRE_long,XLRE,1.0
XLRE_long,SPY,-0.5633198260083777
XLRE_short,XLRE,-1.0
XLRE_short,SPY,0.5633198260083777
