portfolio_name,sym,wt
XLK_long,XLK,1.0
XLK_long,SPY,-1.2823852615885878
XLK_short,XLK,-1.0
XLK_short,SPY,1.2823852615885878
XLF_long,XLF,1.0
XLF_long,SPY,-0.7755916624726974
XLF_short,XLF,-1.0
XLF_short,SPY,0.7755916624726974
XLV_long,XLV,1.0
XLV_long,SPY,-0.4522582535579443
XLV_short,XLV,-1.0
XLV_short,SPY,0.4522582535579443
XLY_long,XLY,1.0
XLY_long,SPY,-1.0865225954391537
XLY_short,XLY,-1.0
XLY_short,SPY,1.0865225954391537
XLP_long,XLP,1.0
XLP_long,SPY,-0.3034666768016931
XLP_short,XLP,-1.0
XLP_short,SPY,0.3034666768016931
XLE_long,XLE,1.0
XLE_long,SPY,-0.8581413102301366
XLE_short,XLE,-1.0
XLE_short,SPY,0.8581413102301366
XLI_long,XLI,1.0
XLI_long,SPY,-0.863085187204947
XLI_short,XLI,-1.0
XLI_short,SPY,0.863085187204947
XLB_long,XLB,1.0
XLB_long,SPY,-0.8350363989342787
XLB_short,XLB,-1.0
XLB_short,SPY,0.8350363989342787
XLU_long,XLU,1.0
XLU_long,SPY,-0.38365622370518926
XLU_short,XLU,-1.0
XLU_short,SPY,0.38365622370518926
XLC_long,XLC,1.0
XLC_long,SPY,-0.8764274251116618
XLC_short,XLC,-1.0
XLC_short,SPY,0.8764274251116618
XLRE_long,XLRE,1.0
XLRE_long,SPY,-0.5687623404995881
XLRE_short,XLRE,-1.0
XLRE_short,SPY,0.5687623404995881
