portfolio_name,sym,wt
XLK_long,XLK,1.0
XLK_long,SPY,-1.4429860103301015
XLK_short,XLK,-1.0
XLK_short,SPY,1.4429860103301015
XLF_long,XLF,1.0
XLF_long,SPY,-0.8377156831670012
XLF_short,XLF,-1.0
XLF_short,SPY,0.8377156831670012
XLV_long,XLV,1.0
XLV_long,SPY,-0.3601222107473659
XLV_short,XLV,-1.0
XLV_short,SPY,0.3601222107473659
XLY_long,XLY,1.0
XLY_long,SPY,-1.2440999469181904
XLY_short,XLY,-1.0
XLY_short,SPY,1.2440999469181904
XLP_long,XLP,1.0
XLP_long,SPY,-0.22012799605990804
XLP_short,XLP,-1.0
XLP_short,SPY,0.22012799605990804
XLE_long,XLE,1.0
XLE_long,SPY,-0.586679693813252
XLE_short,XLE,-1.0
XLE_short,SPY,0.586679693813252
XLI_long,XLI,1.0
XLI_long,SPY,-0.7892548510186204
XLI_short,XLI,-1.0
XLI_short,SPY,0.7892548510186204
XLB_long,XLB,1.0
XLB_long,SPY,-0.7063614710114937
XLB_short,XLB,-1.0
XLB_short,SPY,0.7063614710114937
XLU_long,XLU,1.0
XLU_long,SPY,-0.5723370712434348
XLU_short,XLU,-1.0
XLU_short,SPY,0.5723370712434348
XLC_long,XLC,1.0
XLC_long,SPY,-0.8477255144790035
XLC_short,XLC,-1.0
XLC_short,SPY,0.8477255144790035
XLRE_long,XLRE,1.0
XLRE_long,SPY,-0.6515480770420747
XLRE_short,XLRE,-1.0
XLRE_short,SPY,0.6515480770420747
