portfolio_name,sym,wt
XLK_long,XLK,1.0
XLK_long,SPY,-1.3205550349707071
XLK_short,XLK,-1.0
XLK_short,SPY,1.3205550349707071
XLF_long,XLF,1.0
XLF_long,SPY,-0.9058678641219567
XLF_short,XLF,-1.0
XLF_short,SPY,0.9058678641219567
XLV_long,XLV,1.0
XLV_long,SPY,-0.45116279809676213
XLV_short,XLV,-1.0
XLV_short,SPY,0.45116279809676213
XLY_long,XLY,1.0
XLY_long,SPY,-1.3472409685671125
XLY_short,XLY,-1.0
XLY_short,SPY,1.3472409685671125
XLP_long,XLP,1.0
XLP_long,SPY,-0.27462982159391963
XLP_short,XLP,-1.0
XLP_short,SPY,0.27462982159391963
XLE_long,XLE,1.0
XLE_long,SPY,-0.34416374288180784
XLE_short,XLE,-1.0
XLE_short,SPY,0.34416374288180784
XLI_long,XLI,1.0
XLI_long,SPY,-0.7842664509374583
XLI_short,XLI,-1.0
XLI_short,SPY,0.7842664509374583
XLB_long,XLB,1.0
XLB_long,SPY,-0.610502047484518
XLB_short,XLB,-1.0
XLB_short,SPY,0.610502047484518
XLU_long,XLU,1.0
XLU_long,SPY,-0.3590621881194688
XLU_short,XLU,-1.0
XLU_short,SPY,0.3590621881194688
XLC_long,XLC,1.0
XLC_long,SPY,-0.8878763223126154
XLC_short,XLC,-1.0
XLC_short,SPY,0.8878763223126154
XLRE_long,XLRE,1.0
XLRE_long,SPY,-0.692895104451557
XLRE_short,XLRE,-1.0
XLRE_short,SPY,0.692895104451557
