portfolio_name,sym,wt
XLK_long,XLK,1.0
XLK_long,SPY,-1.4235445149291726
XLK_short,XLK,-1.0
XLK_short,SPY,1.4235445149291726
XLF_long,XLF,1.0
XLF_long,SPY,-0.8103952945120392
XLF_short,XLF,-1.0
XLF_short,SPY,0.8103952945120392
XLV_long,XLV,1.0
XLV_long,SPY,-0.2845445302384214
XLV_short,XLV,-1.0
XLV_short,SPY,0.2845445302384214
XLY_long,XLY,1.0
XLY_long,SPY,-1.2585139209225535
XLY_short,XLY,-1.0
XLY_short,SPY,1.2585139209225535
XLP_long,XLP,1.0
XLP_long,SPY,-0.19786745839102615
XLP_short,XLP,-1.0
XLP_short,SPY,0.19786745839102615
XLE_long,XLE,1.0
XLE_long,SPY,-0.6294172240650806
XLE_short,XLE,-1.0
XLE_short,SPY,0.6294172240650806
XLI_long,XLI,1.0
XLI_long,SPY,-0.7790544099818961
XLI_short,XLI,-1.0
XLI_short,SPY,0.7790544099818961
XLB_long,XLB,1.0
XLB_long,SPY,-0.6910498469556514
XLB_short,XLB,-1.0
XLB_short,SPY,0.6910498469556514
XLU_long,XLU,1.0
XLU_long,SPY,-0.5847176755258587
XLU_short,XLU,-1.0
XLU_short,SPY,0.5847176755258587
XLC_long,XLC,1.0
XLC_long,SPY,-0.7868601989270559
XLC_short,XLC,-1.0
XLC_short,SPY,0.7868601989270559
XLRE_long,XLRE,1.0
XLRE_long,SPY,-0.46273409724925657
XLRE_short,XLRE,-1.0
XLRE_short,SPY,0.46273409724925657
