portfolio_name,sym,wt
XLK_long,XLK,1.0
XLK_long,SPY,-1.319667427624557
XLK_short,XLK,-1.0
XLK_short,SPY,1.319667427624557
XLF_long,XLF,1.0
XLF_long,SPY,-0.8685278637282455
XLF_short,XLF,-1.0
XLF_short,SPY,0.8685278637282455
XLV_long,XLV,1.0
XLV_long,SPY,-0.5664094199615592
XLV_short,XLV,-1.0
XLV_short,SPY,0.5664094199615592
XLY_long,XLY,1.0
XLY_long,SPY,-1.313711929857717
XLY_short,XLY,-1.0
XLY_short,SPY,1.313711929857717
XLP_long,XLP,1.0
XLP_long,SPY,-0.361053438347413
XLP_short,XLP,-1.0
XLP_short,SPY,0.361053438347413
XLE_long,XLE,1.0
XLE_long,SPY,-0.3661739494164156
XLE_short,XLE,-1.0
XLE_short,SPY,0.3661739494164156
XLI_long,XLI,1.0
XLI_long,SPY,-0.8589709659918456
XLI_short,XLI,-1.0
XLI_short,SPY,0.8589709659918456
XLB_long,XLB,1.0
XLB_long,SPY,-0.6224866456886546
XLB_short,XLB,-1.0
XLB_short,SPY,0.6224866456886546
XLU_long,XLU,1.0
XLU_long,SPY,-0.31190723601885206
XLU_short,XLU,-1.0
XLU_short,SPY,0.31190723601885206
XLC_long,XLC,1.0
XLC_long,SPY,-0.8673559081667485
XLC_short,XLC,-1.0
XLC_short,SPY,0.8673559081667485
XLRE_long,XLRE,1.0
XLRE_long,SPY,-0.6274573668157103
XLRE_short,XLRE,-1.0
XLRE_short,SPY,0.6274573668157103
