portfolio_name,sym,wt
XLK_long,XLK,1.0
XLK_long,SPY,-1.2773795345298429
XLK_short,XLK,-1.0
XLK_short,SPY,1.2773795345298429
XLF_long,XLF,1.0
XLF_long,SPY,-0.7815371255947755
XLF_short,XLF,-1.0
XLF_short,SPY,0.7815371255947755
XLV_long,XLV,1.0
XLV_long,SPY,-0.4621771589497398
XLV_short,XLV,-1.0
XLV_short,SPY,0.4621771589497398
XLY_long,XLY,1.0
XLY_long,SPY,-1.0872121563729074
XLY_short,XLY,-1.0
XLY_short,SPY,1.0872121563729074
XLP_long,XLP,1.0
XLP_long,SPY,-0.3016947050696596
XLP_short,XLP,-1.0
XLP_short,SPY,0.3016947050696596
XLE_long,XLE,1.0
XLE_long,SPY,-0.848112346591204
XLE_short,XLE,-1.0
XLE_short,SPY,0.848112346591204
XLI_long,XLI,1.0
XLI_long,SPY,-0.86308420230905
XLI_short,XLI,-1.0
XLI_short,SPY,0.86308420230905
XLB_long,XLB,1.0
XLB_long,SPY,-0.8388838595127933
XLB_short,XLB,-1.0
XLB_short,SPY,0.8388838595127933
XLU_long,XLU,1.0
XLU_long,SPY,-0.38036006099198555
XLU_short,XLU,-1.0
XLU_short,SPY,0.38036006099198555
XLC_long,XLC,1.0
XLC_long,SPY,-0.8762043865928838
XLC_short,XLC,-1.0
XLC_short,SPY,0.8762043865928838
XLRE_long,XLRE,1.0
XLRE_long,SPY,-0.5706288531232131
XLRE_short,XLRE,-1.0
XLRE_short,SPY,0.5706288531232131
