portfolio_name,sym,wt
XLK_long,XLK,1.0
XLK_long,SPY,-1.3537281212415004
XLK_short,XLK,-1.0
XLK_short,SPY,1.3537281212415004
XLF_long,XLF,1.0
XLF_long,SPY,-0.9515324968520655
XLF_short,XLF,-1.0
XLF_short,SPY,0.9515324968520655
XLV_long,XLV,1.0
XLV_long,SPY,-0.3203086023639225
XLV_short,XLV,-1.0
XLV_short,SPY,0.3203086023639225
XLY_long,XLY,1.0
XLY_long,SPY,-1.1684953709773662
XLY_short,XLY,-1.0
XLY_short,SPY,1.1684953709773662
XLP_long,XLP,1.0
XLP_long,SPY,-0.1560698499826279
XLP_short,XLP,-1.0
XLP_short,SPY,0.1560698499826279
XLE_long,XLE,1.0
XLE_long,SPY,-0.8917256490553643
XLE_short,XLE,-1.0
XLE_short,SPY,0.8917256490553643
XLI_long,XLI,1.0
XLI_long,SPY,-0.9862258289656594
XLI_short,XLI,-1.0
XLI_short,SPY,0.9862258289656594
XLB_long,XLB,1.0
XLB_long,SPY,-0.8287248767982964
XLB_short,XLB,-1.0
XLB_short,SPY,0.8287248767982964
XLU_long,XLU,1.0
XLU_long,SPY,-0.4094560801792016
XLU_short,XLU,-1.0
XLU_short,SPY,0.4094560801792016
XLC_long,XLC,1.0
XLC_long,SPY,-0.9081302474059
XLC_short,XLC,-1.0
XLC_short,SPY,0.9081302474059
XLRE_long,XLRE,1.0
XLRE_long,SPY,-0.6097986271813047
XLRE_short,XLRE,-1.0
XLRE_short,SPY,0.6097986271813047
