portfolio_name,sym,wt
XLK_long,XLK,1.0
XLK_long,SPY,-1.2815297365269744
XLK_short,XLK,-1.0
XLK_short,SPY,1.2815297365269744
XLF_long,XLF,1.0
XLF_long,SPY,-0.7764265074245787
XLF_short,XLF,-1.0
XLF_short,SPY,0.7764265074245787
XLV_long,XLV,1.0
XLV_long,SPY,-0.4398589288220681
XLV_short,XLV,-1.0
XLV_short,SPY,0.4398589288220681
XLY_long,XLY,1.0
XLY_long,SPY,-1.0756971991795492
XLY_short,XLY,-1.0
XLY_short,SPY,1.0756971991795492
XLP_long,XLP,1.0
XLP_long,SPY,-0.3009878661865716
XLP_short,XLP,-1.0
XLP_short,SPY,0.3009878661865716
XLE_long,XLE,1.0
XLE_long,SPY,-0.8523689243509341
XLE_short,XLE,-1.0
XLE_short,SPY,0.8523689243509341
XLI_long,XLI,1.0
XLI_long,SPY,-0.8609163753267914
XLI_short,XLI,-1.0
XLI_short,SPY,0.8609163753267914
XLB_long,XLB,1.0
XLB_long,SPY,-0.824909180569513
XLB_short,XLB,-1.0
XLB_short,SPY,0.824909180569513
XLU_long,XLU,1.0
XLU_long,SPY,-0.40160701371797686
XLU_short,XLU,-1.0
XLU_short,SPY,0.40160701371797686
XLC_long,XLC,1.0
XLC_long,SPY,-0.8696122604603617
XLC_short,XLC,-1.0
XLC_short,SPY,0.8696122604603617
XLRE_long,XLRE,1.0
XLRE_long,SPY,-0.5745325764285418
XLRE_short,XLRE,-1.0
XLRE_short,SPY,0.5745325764285418
