portfolio_name,sym,wt
XLK_long,XLK,1.0
XLK_long,SPY,-1.352153810691243
XLK_short,XLK,-1.0
XLK_short,SPY,1.352153810691243
XLF_long,XLF,1.0
XLF_long,SPY,-0.9369921283464644
XLF_short,XLF,-1.0
XLF_short,SPY,0.9369921283464644
XLV_long,XLV,1.0
XLV_long,SPY,-0.33276291603079045
XLV_short,XLV,-1.0
XLV_short,SPY,0.33276291603079045
XLY_long,XLY,1.0
XLY_long,SPY,-1.1751941967912387
XLY_short,XLY,-1.0
XLY_short,SPY,1.1751941967912387
XLP_long,XLP,1.0
XLP_long,SPY,-0.1911312971709916
XLP_short,XLP,-1.0
XLP_short,SPY,0.1911312971709916
XLE_long,XLE,1.0
XLE_long,SPY,-0.9367798001502708
XLE_short,XLE,-1.0
XLE_short,SPY,0.9367798001502708
XLI_long,XLI,1.0
XLI_long,SPY,-0.972783032618361
XLI_short,XLI,-1.0
XLI_short,SPY,0.972783032618361
XLB_long,XLB,1.0
XLB_long,SPY,-0.8450681010728852
XLB_short,XLB,-1.0
XLB_short,SPY,0.8450681010728852
XLU_long,XLU,1.0
XLU_long,SPY,-0.4064767096316892
XLU_short,XLU,-1.0
XLU_short,SPY,0.4064767096316892
XLC_long,XLC,1.0
XLC_long,SPY,-0.9097415710962616
XLC_short,XLC,-1.0
XLC_short,SPY,0.9097415710962616
XLRE_long,XLRE,1.0
XLRE_long,SPY,-0.6259611656280814
XLRE_short,XLRE,-1.0
XLRE_short,SPY,0.6259611656280814
