portfolio_name,sym,wt
XLK_long,XLK,1.0
XLK_long,SPY,-1.451292725983209
XLK_short,XLK,-1.0
XLK_short,SPY,1.451292725983209
XLF_long,XLF,1.0
XLF_long,SPY,-0.8326609247850898
XLF_short,XLF,-1.0
XLF_short,SPY,0.8326609247850898
XLV_long,XLV,1.0
XLV_long,SPY,-0.34475509244143027
XLV_short,XLV,-1.0
XLV_short,SPY,0.34475509244143027
XLY_long,XLY,1.0
XLY_long,SPY,-1.2582078778277954
XLY_short,XLY,-1.0
XLY_short,SPY,1.2582078778277954
XLP_long,XLP,1.0
XLP_long,SPY,-0.20280091205290784
XLP_short,XLP,-1.0
XLP_short,SPY,0.20280091205290784
XLE_long,XLE,1.0
XLE_long,SPY,-0.5793972601712919
XLE_short,XLE,-1.0
XLE_short,SPY,0.5793972601712919
XLI_long,XLI,1.0
XLI_long,SPY,-0.7805585964595216
XLI_short,XLI,-1.0
XLI_short,SPY,0.7805585964595216
XLB_long,XLB,1.0
XLB_long,SPY,-0.6973592835957017
XLB_short,XLB,-1.0
XLB_short,SPY,0.6973592835957017
XLU_long,XLU,1.0
XLU_long,SPY,-0.5777877852212374
XLU_short,XLU,-1.0
XLU_short,SPY,0.5777877852212374
XLC_long,XLC,1.0
XLC_long,SPY,-0.8503286400147125
XLC_short,XLC,-1.0
XLC_short,SPY,0.8503286400147125
XLRE_long,XLRE,1.0
XLRE_long,SPY,-0.63417413222509
XLRE_short,XLRE,-1.0
XLRE_short,SPY,0.63417413222509
