portfolio_name,sym,wt
XLK_long,XLK,1.0
XLK_long,SPY,-1.4485773839223794
XLK_short,XLK,-1.0
XLK_short,SPY,1.4485773839223794
XLF_long,XLF,1.0
XLF_long,SPY,-0.7869730055390876
XLF_short,XLF,-1.0
XLF_short,SPY,0.7869730055390876
XLV_long,XLV,1.0
XLV_long,SPY,-0.2759020652401793
XLV_short,XLV,-1.0
XLV_short,SPY,0.2759020652401793
XLY_long,XLY,1.0
XLY_long,SPY,-1.2559254002263103
XLY_short,XLY,-1.0
XLY_short,SPY,1.2559254002263103
XLP_long,XLP,1.0
XLP_long,SPY,-0.12570664587667857
XLP_short,XLP,-1.0
XLP_short,SPY,0.12570664587667857
XLE_long,XLE,1.0
XLE_long,SPY,-0.47541188493009506
XLE_short,XLE,-1.0
XLE_short,SPY,0.47541188493009506
XLI_long,XLI,1.0
XLI_long,SPY,-0.7974235452679908
XLI_short,XLI,-1.0
XLI_short,SPY,0.7974235452679908
XLB_long,XLB,1.0
XLB_long,SPY,-0.6485224572636676
XLB_short,XLB,-1.0
XLB_short,SPY,0.6485224572636676
XLU_long,XLU,1.0
XLU_long,SPY,-0.3417820766692262
XLU_short,XLU,-1.0
XLU_short,SPY,0.3417820766692262
XLC_long,XLC,1.0
XLC_long,SPY,-0.8508623989452516
XLC_short,XLC,-1.0
XLC_short,SPY,0.8508623989452516
XLRE_long,XLRE,1.0
XLRE_long,SPY,-0.4712920095890021
XLRE_short,XLRE,-1.0
XLRE_short,SPY,0.4712920095890021
