portfolio_name,sym,wt
XLK_long,XLK,1.0
XLK_long,SPY,-1.391369248484358
XLK_short,XLK,-1.0
XLK_short,SPY,1.391369248484358
XLF_long,XLF,1.0
XLF_long,SPY,-0.7897017573172107
XLF_short,XLF,-1.0
XLF_short,SPY,0.7897017573172107
XLV_long,XLV,1.0
XLV_long,SPY,-0.32572285200515777
XLV_short,XLV,-1.0
XLV_short,SPY,0.32572285200515777
XLY_long,XLY,1.0
XLY_long,SPY,-1.3390697610941065
XLY_short,XLY,-1.0
XLY_short,SPY,1.3390697610941065
XLP_long,XLP,1.0
XLP_long,SPY,-0.28301838903412874
XLP_short,XLP,-1.0
XLP_short,SPY,0.28301838903412874
XLE_long,XLE,1.0
XLE_long,SPY,-0.44718867739364665
XLE_short,XLE,-1.0
XLE_short,SPY,0.44718867739364665
XLI_long,XLI,1.0
XLI_long,SPY,-0.7534873920434947
XLI_short,XLI,-1.0
XLI_short,SPY,0.7534873920434947
XLB_long,XLB,1.0
XLB_long,SPY,-0.6437200842074079
XLB_short,XLB,-1.0
XLB_short,SPY,0.6437200842074079
XLU_long,XLU,1.0
XLU_long,SPY,-0.5481357372693259
XLU_short,XLU,-1.0
XLU_short,SPY,0.5481357372693259
XLC_long,XLC,1.0
XLC_long,SPY,-0.7745403320567626
XLC_short,XLC,-1.0
XLC_short,SPY,0.7745403320567626
XLRE_long,XLRE,1.0
XLRE_long,SPY,-0.7016169376069294
XLRE_short,XLRE,-1.0
XLRE_short,SPY,0.7016169376069294
