portfolio_name,sym,wt
XLK_long,XLK,1.0
XLK_long,SPY,-1.2897260870029297
XLK_short,XLK,-1.0
XLK_short,SPY,1.2897260870029297
XLF_long,XLF,1.0
XLF_long,SPY,-0.7690792800626538
XLF_short,XLF,-1.0
XLF_short,SPY,0.7690792800626538
XLV_long,XLV,1.0
XLV_long,SPY,-0.4432316281495189
XLV_short,XLV,-1.0
XLV_short,SPY,0.4432316281495189
XLY_long,XLY,1.0
XLY_long,SPY,-1.0741076829599983
XLY_short,XLY,-1.0
XLY_short,SPY,1.0741076829599983
XLP_long,XLP,1.0
XLP_long,SPY,-0.283255164205957
XLP_short,XLP,-1.0
XLP_short,SPY,0.283255164205957
XLE_long,XLE,1.0
XLE_long,SPY,-0.8467340367669545
XLE_short,XLE,-1.0
XLE_short,SPY,0.8467340367669545
XLI_long,XLI,1.0
XLI_long,SPY,-0.8657050703532265
XLI_short,XLI,-1.0
XLI_short,SPY,0.8657050703532265
XLB_long,XLB,1.0
XLB_long,SPY,-0.8285745377308049
XLB_short,XLB,-1.0
XLB_short,SPY,0.8285745377308049
XLU_long,XLU,1.0
XLU_long,SPY,-0.39678743601247657
XLU_short,XLU,-1.0
XLU_short,SPY,0.39678743601247657
XLC_long,XLC,1.0
XLC_long,SPY,-0.8716012268627843
XLC_short,XLC,-1.0
XLC_short,SPY,0.8716012268627843
XLRE_long,XLRE,1.0
XLRE_long,SPY,-0.5662261663113128
XLRE_short,XLRE,-1.0
XLRE_short,SPY,0.5662261663113128
