portfolio_name,sym,wt
XLK_long,XLK,1.0
XLK_long,SPY,-1.4871077690481616
XLK_short,XLK,-1.0
XLK_short,SPY,1.4871077690481616
XLF_long,XLF,1.0
XLF_long,SPY,-0.7302180145777106
XLF_short,XLF,-1.0
XLF_short,SPY,0.7302180145777106
XLV_long,XLV,1.0
XLV_long,SPY,-0.26875937450082515
XLV_short,XLV,-1.0
XLV_short,SPY,0.26875937450082515
XLY_long,XLY,1.0
XLY_long,SPY,-1.2972269925679085
XLY_short,XLY,-1.0
XLY_short,SPY,1.2972269925679085
XLP_long,XLP,1.0
XLP_long,SPY,-0.15173632849940283
XLP_short,XLP,-1.0
XLP_short,SPY,0.15173632849940283
XLE_long,XLE,1.0
XLE_long,SPY,-0.4805478913331055
XLE_short,XLE,-1.0
XLE_short,SPY,0.4805478913331055
XLI_long,XLI,1.0
XLI_long,SPY,-0.7331999229685036
XLI_short,XLI,-1.0
XLI_short,SPY,0.7331999229685036
XLB_long,XLB,1.0
XLB_long,SPY,-0.6313230669137976
XLB_short,XLB,-1.0
XLB_short,SPY,0.6313230669137976
XLU_long,XLU,1.0
XLU_long,SPY,-0.5452439119478756
XLU_short,XLU,-1.0
XLU_short,SPY,0.5452439119478756
XLC_long,XLC,1.0
XLC_long,SPY,-0.7874927558476196
XLC_short,XLC,-1.0
XLC_short,SPY,0.7874927558476196
XLRE_long,XLRE,1.0
XLRE_long,SPY,-0.49886421815960597
XLRE_short,XLRE,-1.0
XLRE_short,SPY,0.49886421815960597
