portfolio_name,sym,wt
XLK_long,XLK,1.0
XLK_long,SPY,-1.4153809674049458
XLK_short,XLK,-1.0
XLK_short,SPY,1.4153809674049458
XLF_long,XLF,1.0
XLF_long,SPY,-0.77702789576963
XLF_short,XLF,-1.0
XLF_short,SPY,0.77702789576963
XLV_long,XLV,1.0
XLV_long,SPY,-0.4185694510684176
XLV_short,XLV,-1.0
XLV_short,SPY,0.4185694510684176
XLY_long,XLY,1.0
XLY_long,SPY,-1.2946901831258697
XLY_short,XLY,-1.0
XLY_short,SPY,1.2946901831258697
XLP_long,XLP,1.0
XLP_long,SPY,-0.282444721013113
XLP_short,XLP,-1.0
XLP_short,SPY,0.282444721013113
XLE_long,XLE,1.0
XLE_long,SPY,-0.3792368254391501
XLE_short,XLE,-1.0
XLE_short,SPY,0.3792368254391501
XLI_long,XLI,1.0
XLI_long,SPY,-0.779889206977316
XLI_short,XLI,-1.0
XLI_short,SPY,0.779889206977316
XLB_long,XLB,1.0
XLB_long,SPY,-0.5958163479121089
XLB_short,XLB,-1.0
XLB_short,SPY,0.5958163479121089
XLU_long,XLU,1.0
XLU_long,SPY,-0.5531637970721952
XLU_short,XLU,-1.0
XLU_short,SPY,0.5531637970721952
XLC_long,XLC,1.0
XLC_long,SPY,-0.7994873406714778
XLC_short,XLC,-1.0
XLC_short,SPY,0.7994873406714778
XLRE_long,XLRE,1.0
XLRE_long,SPY,-0.7111038094150216
XLRE_short,XLRE,-1.0
XLRE_short,SPY,0.7111038094150216
