portfolio_name,sym,wt
XLK_long,XLK,1.0
XLK_long,SPY,-1.4352394998599263
XLK_short,XLK,-1.0
XLK_short,SPY,1.4352394998599263
XLF_long,XLF,1.0
XLF_long,SPY,-0.7744885133491813
XLF_short,XLF,-1.0
XLF_short,SPY,0.7744885133491813
XLV_long,XLV,1.0
XLV_long,SPY,-0.2866461276581146
XLV_short,XLV,-1.0
XLV_short,SPY,0.2866461276581146
XLY_long,XLY,1.0
XLY_long,SPY,-1.3508029519287228
XLY_short,XLY,-1.0
XLY_short,SPY,1.3508029519287228
XLP_long,XLP,1.0
XLP_long,SPY,-0.20698426003330642
XLP_short,XLP,-1.0
XLP_short,SPY,0.20698426003330642
XLE_long,XLE,1.0
XLE_long,SPY,-0.534017380130692
XLE_short,XLE,-1.0
XLE_short,SPY,0.534017380130692
XLI_long,XLI,1.0
XLI_long,SPY,-0.7806677396628705
XLI_short,XLI,-1.0
XLI_short,SPY,0.7806677396628705
XLB_long,XLB,1.0
XLB_long,SPY,-0.6689003074722378
XLB_short,XLB,-1.0
XLB_short,SPY,0.6689003074722378
XLU_long,XLU,1.0
XLU_long,SPY,-0.48641462269295466
XLU_short,XLU,-1.0
XLU_short,SPY,0.48641462269295466
XLC_long,XLC,1.0
XLC_long,SPY,-0.782843771439756
XLC_short,XLC,-1.0
XLC_short,SPY,0.782843771439756
XLRE_long,XLRE,1.0
XLRE_long,SPY,-0.5784019403803412
XLRE_short,XLRE,-1.0
XLRE_short,SPY,0.5784019403803412
