portfolio_name,sym,wt
XLK_long,XLK,1.0
XLK_long,SPY,-1.2794389551683993
XLK_short,XLK,-1.0
XLK_short,SPY,1.2794389551683993
XLF_long,XLF,1.0
XLF_long,SPY,-0.7821163526091646
XLF_short,XLF,-1.0
XLF_short,SPY,0.7821163526091646
XLV_long,XLV,1.0
XLV_long,SPY,-0.4608924138168447
XLV_short,XLV,-1.0
XLV_short,SPY,0.4608924138168447
XLY_long,XLY,1.0
XLY_long,SPY,-1.0863307264002207
XLY_short,XLY,-1.0
XLY_short,SPY,1.0863307264002207
XLP_long,XLP,1.0
XLP_long,SPY,-0.2991556057285841
XLP_short,XLP,-1.0
XLP_short,SPY,0.2991556057285841
XLE_long,XLE,1.0
XLE_long,SPY,-0.8494926644197095
XLE_short,XLE,-1.0
XLE_short,SPY,0.8494926644197095
XLI_long,XLI,1.0
XLI_long,SPY,-0.8674691218797004
XLI_short,XLI,-1.0
XLI_short,SPY,0.8674691218797004
XLB_long,XLB,1.0
XLB_long,SPY,-0.8374868872909885
XLB_short,XLB,-1.0
XLB_short,SPY,0.8374868872909885
XLU_long,XLU,1.0
XLU_long,SPY,-0.37801142255750014
XLU_short,XLU,-1.0
XLU_short,SPY,0.37801142255750014
XLC_long,XLC,1.0
XLC_long,SPY,-0.8763739724223292
XLC_short,XLC,-1.0
XLC_short,SPY,0.8763739724223292
XLRE_long,XLRE,1.0
XLRE_long,SPY,-0.5695527813114285
XLRE_short,XLRE,-1.0
XLRE_short,SPY,0.5695527813114285
