portfolio_name,sym,wt
XLK_long,XLK,1.0
XLK_long,SPY,-1.2810209938694759
XLK_short,XLK,-1.0
XLK_short,SPY,1.2810209938694759
XLF_long,XLF,1.0
XLF_long,SPY,-0.7773340313343453
XLF_short,XLF,-1.0
XLF_short,SPY,0.7773340313343453
XLV_long,XLV,1.0
XLV_long,SPY,-0.4543979966494729
XLV_short,XLV,-1.0
XLV_short,SPY,0.4543979966494729
XLY_long,XLY,1.0
XLY_long,SPY,-1.0885027200773185
XLY_short,XLY,-1.0
XLY_short,SPY,1.0885027200773185
XLP_long,XLP,1.0
XLP_long,SPY,-0.3050208581962756
XLP_short,XLP,-1.0
XLP_short,SPY,0.3050208581962756
XLE_long,XLE,1.0
XLE_long,SPY,-0.8517486928893996
XLE_short,XLE,-1.0
XLE_short,SPY,0.8517486928893996
XLI_long,XLI,1.0
XLI_long,SPY,-0.8648565156513092
XLI_short,XLI,-1.0
XLI_short,SPY,0.8648565156513092
XLB_long,XLB,1.0
XLB_long,SPY,-0.8362859117532254
XLB_short,XLB,-1.0
XLB_short,SPY,0.8362859117532254
XLU_long,XLU,1.0
XLU_long,SPY,-0.38819746797463633
XLU_short,XLU,-1.0
XLU_short,SPY,0.38819746797463633
XLC_long,XLC,1.0
XLC_long,SPY,-0.8759834662958587
XLC_short,XLC,-1.0
XLC_short,SPY,0.8759834662958587
XLRE_long,XLRE,1.0
XLRE_long,SPY,-0.5730115070584901
XLRE_short,XLRE,-1.0
XLRE_short,SPY,0.5730115070584901
