portfolio_name,sym,wt
XLK_long,XLK,1.0
XLK_long,SPY,-1.2779194433032202
XLK_short,XLK,-1.0
XLK_short,SPY,1.2779194433032202
XLF_long,XLF,1.0
XLF_long,SPY,-0.7892571962742841
XLF_short,XLF,-1.0
XLF_short,SPY,0.7892571962742841
XLV_long,XLV,1.0
XLV_long,SPY,-0.46198409808414365
XLV_short,XLV,-1.0
XLV_short,SPY,0.46198409808414365
XLY_long,XLY,1.0
XLY_long,SPY,-1.0870648626449264
XLY_short,XLY,-1.0
XLY_short,SPY,1.0870648626449264
XLP_long,XLP,1.0
XLP_long,SPY,-0.2976818353422345
XLP_short,XLP,-1.0
XLP_short,SPY,0.2976818353422345
XLE_long,XLE,1.0
XLE_long,SPY,-0.8437183870256494
XLE_short,XLE,-1.0
XLE_short,SPY,0.8437183870256494
XLI_long,XLI,1.0
XLI_long,SPY,-0.866757661686227
XLI_short,XLI,-1.0
XLI_short,SPY,0.866757661686227
XLB_long,XLB,1.0
XLB_long,SPY,-0.8378854812263453
XLB_short,XLB,-1.0
XLB_short,SPY,0.8378854812263453
XLU_long,XLU,1.0
XLU_long,SPY,-0.37517109912764857
XLU_short,XLU,-1.0
XLU_short,SPY,0.37517109912764857
XLC_long,XLC,1.0
XLC_long,SPY,-0.8773038412048623
XLC_short,XLC,-1.0
XLC_short,SPY,0.8773038412048623
XLRE_long,XLRE,1.0
XLRE_long,SPY,-0.5707986809741793
XLRE_short,XLRE,-1.0
XLRE_short,SPY,0.5707986809741793
