portfolio_name,sym,wt
XLK_long,XLK,1.0
XLK_long,SPY,-1.4391985224224515
XLK_short,XLK,-1.0
XLK_short,SPY,1.4391985224224515
XLF_long,XLF,1.0
XLF_long,SPY,-0.7561756219120057
XLF_short,XLF,-1.0
XLF_short,SPY,0.7561756219120057
XLV_long,XLV,1.0
XLV_long,SPY,-0.36337724891397233
XLV_short,XLV,-1.0
XLV_short,SPY,0.36337724891397233
XLY_long,XLY,1.0
XLY_long,SPY,-1.2864490284535886
XLY_short,XLY,-1.0
XLY_short,SPY,1.2864490284535886
XLP_long,XLP,1.0
XLP_long,SPY,-0.2880347151351355
XLP_short,XLP,-1.0
XLP_short,SPY,0.2880347151351355
XLE_long,XLE,1.0
XLE_long,SPY,-0.4126402028185858
XLE_short,XLE,-1.0
XLE_short,SPY,0.4126402028185858
XLI_long,XLI,1.0
XLI_long,SPY,-0.7494718057689427
XLI_short,XLI,-1.0
XLI_short,SPY,0.7494718057689427
XLB_long,XLB,1.0
XLB_long,SPY,-0.6174376339558401
XLB_short,XLB,-1.0
XLB_short,SPY,0.6174376339558401
XLU_long,XLU,1.0
XLU_long,SPY,-0.5342924768704934
XLU_short,XLU,-1.0
XLU_short,SPY,0.5342924768704934
XLC_long,XLC,1.0
XLC_long,SPY,-0.8038403997296337
XLC_short,XLC,-1.0
XLC_short,SPY,0.8038403997296337
XLRE_long,XLRE,1.0
XLRE_long,SPY,-0.6443398289383125
XLRE_short,XLRE,-1.0
XLRE_short,SPY,0.6443398289383125
